expert_id,expert,112.ua,24 канал,Gazeta.ua,LB.ua,LIGA.net,Politeka,ZIK,Zaxid.net,Znaj.ua,Інтерфакс-Україна,Апостроф,Бабель,Букви,Вголос,Вєсті,Газета Факти,Главком,ГолосUA,Гордон,Громадське,Дзеркало тижня,Економічна Правда,Еспресо ТВ,Комсомольська правда в Україні,Корреспондент.net,НВ,Обозреватель,РБК-Україна,Радіо Свобода,Страна.ua,Суспільне,Сьогодні,ТСН,Телеграф,УНІАН,УНН,Українська правда,Українські новини,Укрінформ,Факти ICTV,Фокус,Цензор.НЕТ
134,Олег Пендзин,0,2,1,0,0,2,0,0,4,0,4,0,1,1,5,0,9,42,0,0,0,0,1,1,0,0,6,0,0,2,2,12,1,1,1,2,0,3,0,1,0,0
239,Вадим Іосуб,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,5,1,1,0,0,0,0,0,3,0,0,10,4,0,0,0,2,0,4,2,0,0,54,0,3,0,0
214,Олексій Кущ,0,0,1,0,0,16,1,0,12,0,5,0,0,0,2,0,0,6,0,0,0,0,0,8,0,0,1,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0
124,Борис Кушнірук,0,0,3,0,0,9,0,0,10,0,1,0,0,0,1,1,9,1,1,0,0,0,2,0,0,0,10,2,0,0,0,6,0,1,0,0,0,0,0,0,1,3
328,Катерина Котенкова,0,0,0,0,0,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Андрій Шевчишин,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,8,0,0,17,0,19,0,1,1,0,0,0,0,0,0,0
256,Олександр Каленков,0,3,0,0,0,9,0,0,9,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,12,3,0,0,0,3,0,0,2,0,0,3,0,0,0,3
554,Сергій Куюн,3,1,0,0,0,0,0,0,0,0,3,0,0,0,3,1,3,4,0,0,1,0,3,1,0,1,1,0,0,2,1,11,0,2,0,2,0,9,1,1,0,0
215,Олег Устенко,4,4,3,2,2,1,0,0,0,1,0,0,1,0,3,0,2,0,5,0,1,2,1,2,2,1,3,1,0,0,0,1,0,2,1,0,0,2,3,1,0,3
211,Олександр Охріменко,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,3,0,0,2,1,0,0,0,9,1,0,1,4,0,4,0,0,0,0
635,Олексій Дорошенко,0,0,1,0,0,2,0,0,1,0,0,0,1,1,7,0,5,4,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,1,1,0,2,0,0,0,0
301,Михайло Волинець,1,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,5,3,0,3,1,2,0,0,0,0,0,0,3,0,0,1
1498,Андрій Гундер,0,0,1,1,0,5,0,0,5,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,3,1,0,0,0,4,0,0,0,0,0,3,2,1,1,1
163,Тимофій Милованов,0,2,0,0,2,0,1,0,1,1,0,0,0,0,2,0,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,2,3,0,0,0,4,1,2
294,Володимир Омелян,0,0,0,0,0,5,0,0,7,0,0,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,6,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
377,Сергій Фурса,0,5,0,0,0,4,0,0,2,0,5,0,0,0,0,4,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
913,Юрій Риженков,0,2,1,0,1,1,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,0,0,5,0,0,2,0,2,0,0
837,Сергій Родлер,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,13,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0
1030,Валентин Землянський,0,0,0,0,0,5,0,0,3,0,1,0,0,0,1,1,0,7,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
1017,Анатолій Старовойт,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
